ATA,DESCRIPCION,TIPO,BARRIO,CP,SENTIDO,CARRILES,LIMITE,COMENTARIO
A39,avenida burjassot,secundaria,campanar,46009,1,1,30,calle pequeña
A398,hnos machado(juan xxiii-const),primaria,rascanya,46019,2,8,50,avenida
A406,prolongacion juan xxiii entre hermanos machado y salvador cervero,primaria,rascanya,46019,2,10,50,salida
A408,antonio ferrandis (entre ausias march y general urrutia),primaria,quatre carreres,46013,2,9,50,avenida
A409,camino de las moreras (entre autopista del saler y paso elevado ferrocarril),terciaria,quatre carreres,46006,2,4,50,calle larga
A411,menorca entre prolongacion alameda y av. francia,primaria,camins al grau,46023,2,8,50,calle larga
A1,acceso barcelona entre v-21 y ronda norte,entrada,algiros,46021,2,8,50,entrada
A10,paseo de alameda,primaria,el pla del real,46010,2,5,50,calle larga
A416,av. naranjos entre luis peixo y paseo maritimo,primaria,algiros,46022,2,8,50,avenida
A43,barcas-pintor sorolla,residencial,ciutat vella,46002,1,3,30,calle pequeña
A47,blasco ibañez,primaria,algiros,46021,2,6,50,avenida
A5,acceso barcelona [entre primado reig y blasco ibañez],entrada,rascanya,46019,2,6,50,salida
A51,blasco ibañez,primaria,el pla del real,46010,2,6,50,avenida
A53,botanico cabanilles,residencial,la saidia,46010,1,3,50,calle larga
A59,camino nuevo de picanya,primaria,patraix,46014,2,9,30,calle larga
A62,campanar avenida,secundaria,campanar,46009,2,4,40,calle larga
A64,cardenal benlloch,primaria,el pla del real,46021,2,8,50,avenida
A66,carrera de san luis,residencial,quatre carreres,46006,1,2,30,calle pequeña
A7,paseo de alameda,primaria,el pla del real,46010,2,5,50,calle larga
A76,colon,residencial,ciutat vella,46004,1,3,30,calle larga
A87,doctor gomez ferrer,terciaria,el pla del real,46010,1,3,30,calle pequeña
A88,doctor lluch,terciaria,poblados maritimos,46011,1,2,30,calle pequeña
A89,doctor lluch,terciaria,poblados maritimos,46011,1,2,30,calle pequeña
A9,paseo de alameda,primaria,el pla del real,46010,2,5,50,calle larga
A90,doctor lluch,terciaria,poblados maritimos,46011,1,2,30,calle pequeña
A93,doctor marcos sopena,terciaria,poblados maritimos,46011,2,4,30,calle pequeña
A94,doctor moliner,terciaria,el pla del real,46010,1,2,30,calle pequeña
A97,doctor peset aleixandre,primaria,la saidia,46009,2,8,50,avenida
A99,eduardo bosca,primaria,camins al grau,46023,2,6,50,calle larga
B10,baron de san petrillo,residencial,benimaclet,46020,1,1,30,calle pequeña
B11,benicadell,residencial,benicalap,46015,1,1,30,calle pequeña
B100,serpis,terciaria,algiros,46021,2,2,30,calle pequeña
B103,tamarindos,residencial,campanar,46015,1,2,30,calle pequeña
B109,virgen de la cabeza,residencial,patraix,46014,1,1,30,calle pequeña
B110,virgen del sufragio,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B12,bilbao,residencial,la saidia,46009,1,1,30,calle pequeña
A102,ernesto ferrer,terciaria,el pla del real,46021,2,4,30,calle pequeña
B31,dels ports,residencial,benicalap,46015,1,1,30,calle pequeña
B38,escultol alfonso gabino,residencial,algiros,46022,1,1,30,calle pequeña
B34,duque de calabria,residencial,l eixample,46005,1,1,30,calle pequeña
B37,erudito orellana,residencial,extramuros,46008,1,2,30,calle pequeña
B40,explorador andres,residencial,algiros,46022,1,1,30,calle pequeña
B42,finlandia,terciaria,el pla del real,46010,1,1,30,calle pequeña
B45,fray pedro vives,residencial,la saidia,46009,2,2,30,calle pequeña
B49,grabador enguidanos,residencial,campanar,46015,1,1,30,calle pequeña
A104,eugenia viñes,terciaria,poblados maritimos,46011,1,2,30,calle pequeña
A110,gaspar aguilar,secundaria,jesus,46007,2,4,50,calle larga
A118,germanias,primaria,l eixample,46006,2,8,50,calle larga
A12,alameda prolongacion,secundaria,camins al grau,46023,2,5,50,calle larga
A123,guadalaviar,primaria,la saidia,46009,2,5,50,calle larga
A124,guillem de castro,primaria,ciutat vella,46002,1,3,50,calle larga
A127,guillem de castro,primaria,ciutat vella,46002,1,3,50,calle larga
A13,alboraia,terciaria,la saidia,46010,1,3,30,calle pequeña
A144,llano de zaidia,primaria,la saidia,46009,2,6,50,calle larga
A167,nicasio benlloch,terciaria,campanar,46009,1,2,30,calle pequeña
A169,nicasio benlloch,terciaria,campanar,46009,1,4,30,calle larga
B97,sagasta,residencial,ciutat vella,46002,1,1,30,calle pequeña
A106,fontanares,terciaria,patraix,46007,2,2,30,calle pequeña
A107,francia avda,secundaria,camins al grau,46023,2,8,50,avenida
A109,gaspar aguilar,secundaria,jesus,46007,2,4,50,avenida
A116,giorgeta,primaria,extramuros,46007,2,8,50,avenida
A137,jaime beltran,terciaria,jesus,46007,2,3,30,calle pequeña
A143,linares,secundaria,l olivereta,46018,1,4,50,calle larga
A145,lorca,secundaria,l olivereta,46018,1,4,50,calle larga
A148,malilla carrera,terciaria,quatre carreres,46006,2,4,50,calle larga
A149,malilla carrera,terciaria,quatre carreres,46006,2,3,50,calle larga
A155,matias perello,secundaria,l eixample,46005,1,3,50,calle larga
A163,mestre racional,secundaria,l eixample,46005,1,3,50,calle larga
B95,rodriguez de cepeda,residencial,camins al grau,46021,1,2,30,calle pequeña
A164,micer masco,residencial,el pla del real,46010,1,2,30,calle pequeña
A226,san vicente,secundaria,extramuros,46008,1,3,50,calle larga
A235,serreria entre santos justo y pastor y blasco ibañez,primaria,camins al grau,46022,2,6,50,calle larga
A237,avenida suecia,residencial,el pla del real,46010,2,3,30,calle larga
A241,tomas de montañana,secundaria,camins al grau,46023,2,6,50,calle larga
A258,hnos maristas instituto obre,secundaria,quatre carreres,46013,2,6,50,avenida
A271,puente de las viejas glorias,primaria,extramuros,46008,2,8,50,puente
A278,puente de aragon,primaria,el pla del real,46010,2,7,50,puente
A279,puente del reino,primaria,quatre carreres,46006,2,7,50,puente
A28,ausias march,primaria,quatre carreres,46006,2,8,50,avenida
A291,pintor benedito,secundaria,extramuros,46007,1,5,50,calle larga
A299,camp del turia,secundaria,benicalap,46015,2,6,50,calle larga
A261,avenida baleares,primaria,camins al grau,46023,1,4,50,avenida
A264,gibraltar,terciaria,l eixample,46006,2,2,30,calle pequeña
A267,puente nueve de octubre,primaria,campanar,46015,2,6,50,puente
A27,ausias march,primaria,quatre carreres,46006,2,8,50,avenida
A270,puente de campanar,primaria,campanar,46015,2,8,50,puente
A272,puente de las artes,secundaria,ciutat vella,46002,2,7,50,puente
A276,puente del real,primaria,la saidia,46020,2,5,50,puente
A277,puente de las flores,secundaria,el pla del real,46023,1,3,50,puente
A290,san jose de calasanz,secundaria,extramuros,46008,1,4,50,calle larga
A399,hnos machado(const-alfahuir),primaria,rascanya,46019,2,8,50,avenida
A413,menorca entre av francia y av baleares,primaria,camins al grau,46023,2,8,50,avenida
A415,santos justo y pastor entre jose m haro y serreria,terciaria,algiros,46021,2,2,50,calle larga
A46,blanquerias,primaria,ciutat vella,46003,1,5,50,calle larga
A49,blasco ibañez,primaria,algiros,46021,2,6,50,avenida
A52,blasco ibañez,primaria,algiros,46021,2,6,50,avenida
A56,c moncada p aleix a h macha,terciaria,benicalap,46015,2,4,50,calle larga
A58,camino nuevo de picanya,primaria,patraix,46014,2,9,30,calle larga
A61,campanar avenida,secundaria,campanar,46009,2,4,40,calle larga
A65,cardenal benlloch,primaria,el pla del real,46021,2,8,50,avenida
A69,cid avenida,primaria,patraix,46018,2,8,50,avenida
A70,cid avenida,primaria,patraix,46018,2,8,50,avenida
A71,cid avenida,primaria,l olivereta,46018,2,11,50,avenida
A74,clariano,primaria,algiros,46021,2,6,50,calle larga
A165,avenida de los naranjos,primaria,algiros,46022,2,8,50,avenida
A413,pont de l assut de l or entre menorca y autopista del saler,primaria,quatre carreres,46006,2,6,50,puente
A414,ingeniero fausto elio entre av de los naranjos y c mendizabal,terciaria,algiros,46011,2,2,40,salida
A49,blasco ibañez,primaria,el pla del real,46021,2,9,50,avenida
A50,blasco ibañez,primaria,algiros,46021,2,6,50,avenida
A54,brasil,residencial,l olivereta,46018,1,2,30,calle pequeña
A55,cadiz,residencial,l eixample,46006,1,1,30,calle pequeña
A60,camp del turia,secundaria,benicalap,46015,2,6,50,calle larga
A68,los centelles,secundaria,l eixample,46006,1,3,30,calle pequeña
A72,cid avenida,primaria,l olivereta,46018,2,11,50,salida
B1,acacias,residencial,benicalap,46025,1,1,30,calle pequeña
B105,torres,residencial,l olivereta,46018,1,1,30,calle pequeña
B89,pobla del duc,residencial,la saidia,46009,1,1,30,calle pequeña
A166,navarro reverter,secundaria,l eixample,46004,2,5,30,calle pequeña
A168,nicasio benlloch,terciaria,campanar,46009,1,2,30,calle pequeña
A170,nueve de octubre,primaria,l olivereta,46018,2,9,50,avenida
A175,paseo pechina,primaria,extramuros,46008,1,4,50,calle larga
A177,paseo pechina,primaria,extramuros,46008,1,4,50,calle larga
A178,pavia,terciaria,poblados maritimos,46011,2,4,30,calle pequeña
